usage_id;subscription_id;usage_date;feature_name;usage_count;usage_duration_mins;logged_errors_count;is_beta_feature
U-af47d3;S-001561;2023-03-18;feature_36;8;31,2;0;
U-86bf48;S-001561;2023-12-31;feature_10;9;59,4;0;
U-c8f052;S-001561;2023-05-28;feature_26;8;73,1;0;
U-e302b3;S-001561;2023-05-20;feature_4;15;146,0;3;
U-6aca17;S-001561;2024-06-25;feature_39;8;50,4;0;
U-e930e8;S-0027d3;2024-12-31;feature_23;4;28,0;0;
U-ea0de3;S-0027d3;2023-05-06;feature_23;8;42,8;0;
U-46fba8;S-0027d3;2023-01-15;feature_16;24;208,8;0;
U-9c5a94;S-0027d3;2024-08-09;feature_24;8;67,9;0;
U-f95a49;S-003647;2024-12-29;feature_32;12;37,6;0;
U-6475de;S-003647;2023-05-19;feature_31;9;29,3;0;
U-834a90;S-003647;2023-07-04;feature_14;7;56,6;0;
U-e982b9;S-003647;2023-06-02;feature_38;7;24,7;0;
U-10e73e;S-003647;2023-01-22;feature_24;7;23,8;2;Beta
U-608a79;S-003647;2023-05-30;feature_29;11;25,9;1;
U-e35f1e;S-003647;2023-12-26;feature_30;7;16,2;0;
U-c826f5;S-003647;2023-10-06;feature_11;11;2,9;0;Beta
U-14a59f;S-003fc0;2024-09-16;feature_39;14;49,9;1;
U-d37415;S-003fc0;2023-11-06;feature_4;8;10,9;0;
U-44b6e1;S-003fc0;2023-02-10;feature_26;7;43,8;0;
U-ee080d;S-003fc0;2023-12-17;feature_12;14;94,3;0;
U-b27288;S-004d19;2023-12-03;feature_33;9;66,6;0;
U-6b7466;S-004d19;2024-12-07;feature_7;9;27,0;0;
U-a0c7fb;S-004eb4;2023-06-07;feature_12;8;24,9;1;
U-e1f17d;S-004eb4;2024-04-18;feature_15;4;9,7;1;
U-928e3c;S-004eb4;2024-04-23;feature_30;16;99,7;0;
U-75d74c;S-004eb4;2024-03-17;feature_2;12;14,6;0;
U-b4c483;S-004eb4;2024-03-23;feature_9;13;34,0;0;
U-8321f4;S-004eb4;2024-09-27;feature_14;10;58,2;0;
U-1714fd;S-004eb4;2023-11-18;feature_39;10;99,3;0;
U-3b8333;S-004eb4;2024-12-25;feature_14;7;12,1;0;
U-071a67;S-006908;2024-11-26;feature_30;13;6,7;1;
U-8ac393;S-006fed;2023-04-01;feature_36;10;94,0;0;Beta
U-cb4826;S-006fed;2023-08-13;feature_29;8;33,6;0;
U-1de946;S-006fed;2024-05-17;feature_35;12;44,4;0;Beta
U-7d58e4;S-006fed;2023-01-23;feature_31;11;33,4;0;
U-3358c1;S-006fed;2023-04-18;feature_9;13;87,5;0;
U-597be4;S-006fed;2024-09-13;feature_30;11;106,7;0;
U-ed89ed;S-006fed;2024-07-21;feature_3;9;5,6;0;
U-982a1a;S-006fed;2024-03-11;feature_30;12;118,4;0;
U-8d4cc8;S-006fed;2023-10-31;feature_32;10;71,0;0;
U-07b4b1;S-006fed;2024-09-05;feature_4;8;56,0;0;
U-0c8a0b;S-007e2c;2024-05-26;feature_15;9;32,6;0;
U-0b3358;S-007e2c;2024-11-09;feature_28;11;88,7;0;Beta
U-694bdd;S-007e2c;2024-11-24;feature_18;9;9,8;0;Beta
U-5c264c;S-007e2c;2024-05-17;feature_16;10;69,0;0;
U-43afca;S-007e2c;2023-02-17;feature_20;10;15,3;0;
U-dfd37a;S-00837c;2024-11-20;feature_12;8;70,5;1;Beta
U-036667;S-00837c;2023-07-25;feature_2;3;2,5;5;
U-fcfddf;S-00837c;2024-10-21;feature_23;14;59,3;1;Beta
U-83acc5;S-00837c;2023-10-10;feature_13;20;11,7;0;Beta
U-208826;S-00866d;2023-08-28;feature_2;9;26,9;0;
U-fb063d;S-00866d;2024-11-21;feature_21;16;1,3;0;
U-e51bda;S-00866d;2023-06-22;feature_26;12;4,4;2;
U-e57fc3;S-008cab;2023-11-28;feature_32;13;96,0;0;
U-28fa6d;S-008cab;2024-09-12;feature_20;9;33,9;0;
U-b14f94;S-008cab;2024-10-26;feature_14;10;23,5;3;
U-1e45f4;S-008cab;2024-06-07;feature_6;11;80,9;0;
U-7c2f6a;S-008cab;2023-09-02;feature_38;13;38,4;1;
U-6747cc;S-008cab;2024-06-01;feature_18;10;43,7;2;
U-9aea9c;S-008cab;2024-12-26;feature_12;7;29,5;0;
U-8e560a;S-008cab;2024-12-28;feature_24;10;77,0;2;
U-e3df7f;S-008cab;2023-10-10;feature_19;13;49,8;0;
U-031f15;S-008f3c;2024-07-17;feature_6;6;32,5;0;Beta
U-21ce54;S-009027;2024-12-11;feature_14;11;69,9;0;
U-d23801;S-009027;2024-09-08;feature_32;5;18,0;0;
U-1dbefd;S-009027;2024-06-22;feature_23;12;40,6;0;
U-1a65d9;S-009027;2023-10-07;feature_20;7;17,4;0;
U-f7413f;S-009027;2023-10-24;feature_4;19;185,9;1;
U-668157;S-00ab51;2023-04-14;feature_9;14;30,1;0;Beta
U-0df75b;S-00ab51;2024-03-29;feature_5;10;96,0;1;
U-252ecd;S-00ab51;2023-09-25;feature_38;13;33,8;0;
U-fd4886;S-00ab51;2023-07-13;feature_31;12;63,0;1;
U-18d390;S-00b0bc;2024-02-22;feature_13;4;38,4;0;
U-03f160;S-00bb84;2024-02-28;feature_33;9;39,6;0;
U-415bb3;S-00bb84;2023-03-10;feature_30;7;6,4;0;
U-4a58e9;S-00bb84;2023-12-17;feature_28;22;78,8;4;
U-70ab8f;S-00bb84;2023-01-12;feature_24;5;49,7;0;
U-711ff1;S-00bb84;2024-03-14;feature_2;9;38,9;0;
U-4b9b87;S-00bb84;2023-07-21;feature_25;10;83,5;0;
U-6bd230;S-00bb84;2023-01-11;feature_33;10;30,8;1;
U-7a05de;S-00bb84;2024-03-10;feature_4;9;11,0;0;
U-effe86;S-00dea4;2023-05-25;feature_9;14;49,9;0;
U-a90c1f;S-00dea4;2023-09-30;feature_12;13;84,1;0;Beta
U-dabec4;S-00dea4;2023-10-17;feature_37;12;36,0;0;
U-6b6d05;S-00dea4;2024-10-25;feature_39;10;22,2;0;
U-0f672a;S-00dea4;2024-09-05;feature_5;14;87,3;0;
U-43e30e;S-00f31d;2023-05-25;feature_24;9;6,3;0;Beta
U-2b765e;S-00f31d;2023-04-01;feature_17;6;30,3;0;Beta
U-05a435;S-00f31d;2024-02-14;feature_6;6;32,9;0;
U-0c3fe7;S-00f31d;2024-07-01;feature_6;8;74,8;2;
U-daf0c9;S-00f31d;2023-01-14;feature_30;11;69,3;0;
U-0a7851;S-00fb6e;2024-12-06;feature_11;8;57,6;0;
U-7a8729;S-00fb6e;2023-06-24;feature_26;12;110,4;0;
U-53ee52;S-00fb6e;2024-08-09;feature_33;12;33,8;0;
U-3afeab;S-00fb6e;2024-07-22;feature_24;12;12,4;0;
U-36a2ed;S-00fb6e;2024-03-16;feature_22;13;81,0;0;Beta
U-cf11cc;S-00fcc5;2024-03-13;feature_35;18;93,0;0;
U-e7cd58;S-00fcc5;2023-07-18;feature_6;12;91,2;0;
U-e1c5ae;S-00fcc5;2024-07-04;feature_12;11;15,4;1;
U-0a8d8f;S-00fcc5;2023-08-22;feature_37;15;143,5;0;
U-3faed9;S-00fcc5;2023-08-23;feature_33;10;62,7;1;
U-98252f;S-00fcc5;2023-08-13;feature_1;10;94,7;0;Beta
U-d6e66e;S-00fcc5;2023-05-17;feature_33;13;101,0;0;
U-fc4bca;S-012ab9;2023-04-09;feature_38;11;52,3;0;Beta
U-fad08f;S-012ab9;2024-04-21;feature_20;11;50,4;0;
U-278ff2;S-012ab9;2024-07-04;feature_10;9;9,2;0;
U-71231f;S-012ab9;2024-09-01;feature_30;9;38,3;0;
U-e274d2;S-012ab9;2024-01-01;feature_27;13;82,1;0;Beta
U-7d1485;S-012ab9;2023-04-09;feature_16;7;45,9;2;
U-6e343f;S-012ab9;2024-02-10;feature_17;4;4,9;0;
U-879b2c;S-012b26;2023-02-05;feature_9;6;13,8;4;
U-b74229;S-012b26;2023-10-22;feature_37;19;50,4;0;
U-3e52c6;S-012b26;2024-11-06;feature_28;12;102,4;0;
U-6a597f;S-012b26;2023-02-15;feature_14;6;18,9;0;
U-86e1e7;S-012b26;2024-11-07;feature_3;11;59,8;0;
U-8ea580;S-012b26;2023-08-05;feature_8;10;68,3;0;
U-1dd5f5;S-012b26;2023-11-01;feature_2;7;31,9;0;
U-e549f5;S-012b26;2024-01-27;feature_11;8;54,4;0;
U-683a69;S-012b26;2024-02-04;feature_18;14;88,7;0;
U-68a1a0;S-013f5c;2023-08-25;feature_29;8;76,7;0;
U-3905c5;S-013f5c;2024-05-13;feature_1;12;58,4;0;
U-5d71f3;S-013f5c;2023-12-29;feature_10;10;4,5;3;
U-3dc547;S-013f5c;2023-09-25;feature_26;10;10,2;0;
U-e27fcd;S-013f5c;2023-07-07;feature_31;12;24,2;0;
U-212520;S-013f5c;2023-06-26;feature_20;13;21,5;0;Beta
U-1dca00;S-013f5c;2023-05-04;feature_23;8;57,5;3;
U-93d658;S-013f5c;2023-03-16;feature_2;11;75,2;0;
U-aa31bb;S-013f5c;2023-10-06;feature_13;13;113,8;0;Beta
U-b426f0;S-0144ac;2023-10-20;feature_24;5;2,3;0;
U-264e22;S-0144ac;2024-12-14;feature_34;10;85,5;0;Beta
U-604752;S-0144ac;2024-09-18;feature_37;9;57,6;0;
U-815c71;S-0144ac;2024-09-20;feature_29;6;21,0;0;
U-3ba5b5;S-0146f6;2023-05-21;feature_21;6;44,0;0;
U-42dbbc;S-0146f6;2024-10-18;feature_33;5;23,2;0;
U-a9db62;S-0146f6;2023-08-23;feature_21;14;111,5;1;
U-ad7391;S-0146f6;2024-10-01;feature_40;11;91,5;0;
U-eeec7b;S-0146f6;2024-04-21;feature_8;9;80,9;0;
