sub_event_id;subscription_id;event_date;event_type;event_details;plan_tier;seats;billing_frequency;auto_renew_status;mrr_amount;arr_amount
1;S-a7360b;2023-11-16;Create;;Basic;61;annual;Active;1159;13908
2;S-3fbf9e;2024-04-06;Update;Plan Upgrade;Pro;28;monthly;Active;1372;16464
3;S-585d4c;2024-05-06;Update;Plan Upgrade;Enterprise;28;monthly;Active;5572;66864
4;S-76a214;2024-05-14;Update;Seat Upgrade;Enterprise;49;annual;Active;9751;117012
5;S-64fba3;2024-07-16;Update;Seat Downgrade;Enterprise;28;annual;Active;5572;66864
6;S-7f9ce5;2024-07-20;Update;Plan Downgrade;Pro;28;monthly;Active;1372;16464
7;S-4a724b;2024-08-06;Update;;Pro;28;annual;Active;1372;16464
8;S-a86344;2024-08-18;Update;Seat Upgrade;Pro;36;annual;Active;1764;21168
9;S-f3dd83;2024-08-28;;;Enterprise;28;monthly;Active;0;0
10;S-289702;2024-09-01;Conversion;;Enterprise;28;annual;Inactive;5572;66864
11;S-2e965d;2023-09-16;Create;;Pro;8;monthly;Active;392;4704
12;S-138c41;2023-12-26;Update;Plan Downgrade;Basic;19;annual;Active;361;4332
13;S-c46499;2024-03-03;Update;Seat Downgrade;Basic;8;annual;Active;152;1824
14;S-4d1ba6;2024-04-04;;;Enterprise;9;annual;Inactive;0;0
15;S-ebfbbe;2024-08-04;Conversion;;Basic;8;monthly;Active;152;1824
16;S-0bdbb3;2024-08-09;Update;Plan Upgrade;Enterprise;39;monthly;Active;7761;93132
17;S-761518;2024-09-05;Update;Plan Downgrade;Pro;8;monthly;Active;392;4704
18;S-dcae52;2024-10-29;Update;Plan Upgrade;Enterprise;20;monthly;Active;3980;47760
19;S-c0ca82;2024-12-02;Update;Plan Downgrade;Pro;19;annual;Active;931;11172
20;S-ba69a4;2024-05-30;Create;;Basic;25;monthly;Active;0;0
21;S-66f0d0;2024-06-28;Conversion;;Basic;35;monthly;Active;665;7980
22;S-b12284;2024-06-29;Update;Seat Downgrade;Basic;9;annual;Inactive;171;2052
23;S-3fe1c3;2024-10-23;;;Enterprise;20;monthly;Active;0;0
24;S-e05ab8;2024-12-10;Conversion;;Pro;21;monthly;Active;1029;12348
25;S-fb9972;2024-12-31;Update;Seat Upgrade;Pro;45;annual;Active;2205;26460
26;S-0e1d53;2024-08-02;Create;;Basic;6;annual;Inactive;114;1368
27;S-d54349;2024-09-11;Update;Plan Upgrade;Enterprise;20;annual;Active;3980;47760
28;S-769f70;2024-09-28;Update;Plan Downgrade;Basic;13;monthly;Active;247;2964
29;S-0a8cff;2024-09-28;;;Enterprise;12;monthly;Active;0;0
30;S-2c52b6;2024-10-09;Conversion;;Enterprise;14;monthly;Inactive;2786;33432
31;S-6bfd97;2024-10-16;;;Enterprise;59;annual;Active;0;0
32;S-3f0fb6;2024-10-20;Conversion;;Pro;27;annual;Inactive;1323;15876
33;S-0abd10;2024-11-23;Cancel;;Enterprise;24;annual;Active;4776;57312
34;S-d114e2;2024-11-27;Update;Plan Downgrade;Basic;11;annual;Inactive;209;2508
35;S-463525;2024-12-02;Update;Plan Upgrade;Enterprise;13;annual;Active;2587;31044
36;S-8985d3;2024-12-02;Update;Plan Downgrade;Basic;26;monthly;Inactive;494;5928
37;S-b37d03;2023-06-08;Create;;Pro;17;annual;Active;833;9996
38;S-7820a5;2023-08-16;Update;Seat Downgrade;Pro;15;monthly;Active;735;8820
39;S-3ec165;2023-08-19;Cancel;;Enterprise;16;annual;Active;3184;38208
40;S-b7f657;2023-08-28;Update;Seat Downgrade;Enterprise;13;annual;Active;2587;31044
41;S-b6e44c;2023-10-26;Update;Plan Downgrade;Basic;11;annual;Inactive;209;2508
42;S-15662a;2024-02-22;;;Basic;11;annual;Active;0;0
43;S-3ea3af;2024-05-16;Conversion;;Pro;11;monthly;Inactive;539;6468
44;S-f018e9;2024-06-25;Update;Plan Downgrade;Basic;14;annual;Active;266;3192
45;S-2fd650;2024-12-04;;;Enterprise;15;annual;Inactive;0;0
46;S-dcc1a5;2024-05-09;Create;;Pro;26;annual;Inactive;1274;15288
47;S-228457;2024-05-24;Update;Plan Upgrade;Enterprise;24;annual;Active;4776;57312
48;S-e0bfb1;2024-08-04;Cancel;;Pro;21;annual;Inactive;1029;12348
49;S-41871d;2024-08-10;Update;Plan Downgrade;Enterprise;3;annual;Active;597;7164
50;S-37d13a;2024-08-11;;;Enterprise;15;annual;Active;0;0
51;S-b69fa2;2024-09-09;Conversion;;Pro;27;monthly;Inactive;1323;15876
52;S-3ceff3;2024-09-14;Update;Plan Upgrade;Enterprise;15;annual;Active;2985;35820
53;S-c2c197;2024-09-15;Cancel;;Basic;15;monthly;Inactive;285;3420
54;S-32e881;2024-10-10;;;Pro;3;monthly;Active;0;0
55;S-b250cc;2024-11-08;Conversion;;Enterprise;3;annual;Active;597;7164
56;S-e6dee4;2024-11-11;Update;Plan Downgrade;Pro;3;annual;Active;147;1764
57;S-e07b30;2024-11-13;Update;;Pro;3;annual;Active;147;1764
58;S-9eeb7e;2024-12-02;Update;Plan Upgrade;Basic;11;monthly;Inactive;209;2508
59;S-f967c2;2024-12-10;Update;Seat Downgrade;Basic;7;monthly;Active;133;1596
60;S-2e8409;2024-12-14;Update;Plan Upgrade;Pro;10;annual;Inactive;490;5880
61;S-21c164;2024-12-31;Update;Plan Upgrade;Basic;34;annual;Active;646;7752
62;S-461988;2024-03-28;Create;;Basic;44;annual;Inactive;836;10032
63;S-700036;2024-03-31;Update;;Basic;44;annual;Active;836;10032
64;S-36885c;2024-04-07;;;Pro;44;annual;Active;0;0
65;S-b95751;2024-04-24;;;Basic;44;monthly;Active;0;0
66;S-32d874;2024-05-04;Conversion;;Pro;44;annual;Inactive;2156;25872
67;S-7c1eb7;2024-05-12;Update;;Pro;44;monthly;Active;2156;25872
68;S-9b96c2;2024-05-13;Update;Plan Upgrade;Enterprise;44;monthly;Active;8756;105072
69;S-567f8f;2024-06-01;Update;;Enterprise;44;annual;Active;8756;105072
70;S-f6f97e;2024-06-29;Cancel;;Pro;44;annual;Active;2156;25872
71;S-936fa3;2024-07-16;Update;;Pro;44;annual;Active;2156;25872
72;S-18b1f9;2024-08-13;Update;;Pro;44;monthly;Active;2156;25872
73;S-afc43d;2024-08-25;Update;Plan Downgrade;Basic;44;annual;Inactive;836;10032
74;S-bc4da7;2024-09-10;;;Basic;44;annual;Active;0;0
75;S-4da459;2024-12-29;Conversion;;Pro;44;annual;Active;2156;25872
76;S-b48787;2023-10-21;Create;;Pro;22;annual;Active;1078;12936
77;S-52119f;2023-11-20;Update;Plan Upgrade;Enterprise;22;monthly;Active;4378;52536
78;S-9e15d0;2024-01-19;Update;Plan Downgrade;Pro;22;monthly;Active;1078;12936
79;S-60b7c7;2024-05-02;Update;Plan Upgrade;Enterprise;23;annual;Inactive;4577;54924
80;S-020222;2024-05-23;Update;Plan Downgrade;Pro;22;monthly;Active;1078;12936
81;S-f45fe3;2024-05-30;Update;Seat Upgrade;Pro;59;monthly;Active;2891;34692
82;S-f95951;2024-09-10;Update;Seat Downgrade;Pro;22;monthly;Active;1078;12936
83;S-33eb1d;2024-09-20;Update;Plan Upgrade;Enterprise;22;annual;Inactive;4378;52536
84;S-d91908;2024-09-22;Update;Plan Downgrade;Basic;22;monthly;Active;418;5016
85;S-74a274;2024-10-06;Update;Plan Upgrade;Enterprise;22;monthly;Active;4378;52536
86;S-a408fe;2024-10-18;Update;Plan Downgrade;Pro;22;monthly;Active;1078;12936
87;S-639754;2023-12-14;Create;;Basic;19;monthly;Active;0;0
88;S-2a312e;2024-06-21;Conversion;;Basic;26;monthly;Active;494;5928
89;S-8f2b13;2024-10-14;Update;Plan Upgrade;Enterprise;28;annual;Active;5572;66864
90;S-c77f0c;2024-11-29;Update;Plan Downgrade;Basic;29;monthly;Inactive;551;6612
91;S-cc80ee;2024-12-12;Update;Plan Upgrade;Enterprise;23;monthly;Active;4577;54924
92;S-519f1c;2024-11-03;Create;;Basic;34;monthly;Inactive;646;7752
93;S-487d18;2024-11-03;;;Enterprise;34;annual;Active;0;0
94;S-bc5908;2024-11-15;Conversion;;Enterprise;34;monthly;Active;6766;81192
95;S-c8fd93;2024-11-16;Cancel;;Basic;34;monthly;Active;646;7752
96;S-ab63e3;2024-11-23;Update;;Basic;34;annual;Active;646;7752
97;S-70af60;2024-12-10;;;Basic;34;annual;Active;0;0
98;S-9ea111;2024-12-10;Conversion;;Enterprise;34;monthly;Inactive;6766;81192
99;S-fc86d6;2024-06-27;Create;;Pro;5;annual;Active;245;2940
100;S-c3472f;2024-07-23;Update;Seat Upgrade;Pro;36;monthly;Active;1764;21168
101;S-7003c5;2024-12-30;Update;Plan Downgrade;Basic;5;annual;Active;95;1140
102;S-ed55d2;2024-11-07;Create;;Enterprise;25;annual;Active;4975;59700
103;S-d81959;2024-11-10;Update;Plan Downgrade;Basic;25;annual;Active;475;5700
104;S-65491f;2024-11-12;Update;Plan Upgrade;Pro;25;monthly;Inactive;1225;14700
105;S-19465f;2024-11-12;Update;Plan Downgrade;Basic;25;monthly;Active;475;5700
106;S-574b52;2024-11-15;Update;Plan Upgrade;Enterprise;25;monthly;Active;4975;59700
107;S-bd9394;2024-11-28;;;Enterprise;64;annual;Inactive;0;0
108;S-6da42f;2024-11-30;Conversion;;Pro;25;monthly;Active;1225;14700
109;S-9de4eb;2024-12-06;Update;Plan Upgrade;Enterprise;25;monthly;Active;4975;59700
110;S-f66b5d;2024-12-07;;;Enterprise;25;annual;Inactive;0;0
111;S-a6285f;2024-12-08;Conversion;;Enterprise;30;annual;Active;5970;71640
112;S-a575f5;2024-12-09;Update;Plan Downgrade;Basic;25;annual;Active;475;5700
113;S-864157;2024-12-15;Update;Plan Upgrade;Pro;25;annual;Active;1225;14700
114;S-7079c2;2024-12-15;Update;Plan Upgrade;Enterprise;25;annual;Active;4975;59700
115;S-0ec903;2024-12-18;Update;Plan Downgrade;Basic;25;annual;Active;475;5700
116;S-e6a17a;2024-12-19;Cancel;;Enterprise;25;annual;Active;4975;59700
117;S-951c06;2024-09-26;Create;;Basic;19;annual;Active;361;4332
118;S-eff018;2024-10-02;Update;Plan Upgrade;Pro;19;annual;Active;931;11172
119;S-99af79;2024-10-05;Update;Plan Downgrade;Basic;19;annual;Inactive;361;4332
120;S-29597a;2024-10-17;Update;Plan Upgrade;Enterprise;27;annual;Inactive;5373;64476
121;S-fe753c;2024-11-23;Update;Plan Downgrade;Basic;19;monthly;Active;361;4332
122;S-dd80e4;2024-11-24;Update;Plan Upgrade;Enterprise;21;annual;Active;4179;50148
123;S-601bbe;2024-11-26;Update;Plan Downgrade;Pro;21;monthly;Inactive;1029;12348
124;S-eec4d5;2024-12-10;Update;Plan Downgrade;Basic;19;annual;Active;361;4332
125;S-54b286;2024-12-20;Update;Plan Upgrade;Pro;26;monthly;Inactive;1274;15288
126;S-c1f8e1;2024-12-26;Update;Seat Downgrade;Pro;19;annual;Inactive;931;11172
127;S-15cfa1;2024-05-03;Create;;Pro;20;annual;Active;980;11760
128;S-9b8167;2024-05-08;Update;Seat Upgrade;Pro;29;monthly;Active;1421;17052
129;S-a9916f;2024-05-18;Update;Seat Downgrade;Pro;7;annual;Active;343;4116
130;S-3d58c6;2024-06-15;Update;Plan Upgrade;Basic;34;monthly;Active;646;7752
131;S-d26bbf;2024-06-29;Update;Plan Upgrade;Pro;35;monthly;Active;1715;20580
132;S-d9d6ac;2024-07-17;Update;Plan Downgrade;Enterprise;3;annual;Active;597;7164
133;S-cfbb85;2024-08-06;Update;Plan Upgrade;Pro;16;monthly;Inactive;784;9408
134;S-3f82f4;2024-08-26;Update;Plan Upgrade;Basic;90;monthly;Active;1710;20520
